City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Maunabo,PR,78.62,overcast clouds,18.0072,-65.8993,Maunacaribe
271,Yantzaza,EC,75.22,few clouds,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
274,Touros,BR,79.99,very heavy rain,-5.1989,-35.4608,INN NEW HORIZON
278,Tabou,CI,78.96,broken clouds,4.423,-7.3528,hotêl doufoulougou
279,Wilmington Island,US,73.49,clear sky,32.0036,-80.9737,Breezeway Studio Manor LLC
280,George Town,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
287,Boca Do Acre,BR,75.79,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
291,Gauribidanur,IN,76.08,broken clouds,13.6111,77.5167,Shantala Comforts
292,Wala,CM,70.56,light rain,4.578,12.3154,
294,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
299,Camaqua,BR,70.16,overcast clouds,-30.8511,-51.8122,Bartz Hotel
301,Dera Bugti,PK,79.32,broken clouds,29.0307,69.151,Nawab Bugti House
304,Porangatu,BR,76.71,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
311,Udaipura,IN,87.69,overcast clouds,23.0833,78.5,Hotel Kanha Palace
314,Cockburn Town,TC,77.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
315,Gazli,UZ,70.66,few clouds,40.1333,63.45,
317,Takoradi,GH,80.76,few clouds,4.8845,-1.7554,Raybow International Hotel
319,Abu Dhabi,AE,78.91,clear sky,24.4667,54.3667,Beach Rotana
322,Manoel Urbano,BR,76.03,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
324,Monte Alegre,BR,74.03,broken clouds,-2.0078,-54.0692,Hotel Shekinah
330,Mapiripan,CO,74.5,overcast clouds,2.8892,-72.1256,Monserrate
331,Kalmunai,LK,77.83,broken clouds,7.4167,81.8167,VS Villa
337,Douala,CM,78.49,light rain,4.0483,9.7043,Douala Rabingha Hôtel
338,Harper,LR,78.82,scattered clouds,4.375,-7.7169,Screensaver
339,Alta Floresta,BR,72.66,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
340,Puri,IN,81.03,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
342,Male,MV,82.6,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
347,Jaipur,IN,85.32,haze,26.9167,75.8167,Hotel Kalyan
348,Garhi Khairo,PK,82.8,clear sky,28.0606,67.9803,Bandh Ali Hotel
349,Butler,US,76.21,clear sky,39.4501,-84.5666,The Lodge Activity Center
353,Bol,TD,83.79,few clouds,13.4586,14.7147,Harrouni camp de passage
355,Kashmor,PK,82.96,few clouds,28.4333,69.5833,Shah Madina Hotel
356,Namibe,AO,72.79,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
