,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
168,Marrakesh,31.6315,-8.0083,59.07,67,40,11.5,MA,scattered clouds,2022-04-22 23:06:31
169,Shihezi,44.3,86.0333,56.89,45,9,5.66,CN,clear sky,2022-04-22 23:11:05
170,Lieksa,63.3167,30.0167,33.03,95,74,5.1,FI,broken clouds,2022-04-22 23:11:06
171,Qaanaaq,77.484,-69.3632,5.5,90,100,4.0,GL,overcast clouds,2022-04-22 23:10:20
172,Ancud,-41.8697,-73.8203,56.23,93,100,28.72,CL,light rain,2022-04-22 23:11:06
173,Beloha,-25.1667,45.05,73.81,76,97,10.74,MG,overcast clouds,2022-04-22 23:11:07
174,Ikom,5.9667,8.7063,77.07,93,100,1.59,NG,overcast clouds,2022-04-22 23:11:07
175,Trairi,-3.2778,-39.2689,77.38,87,51,5.97,BR,broken clouds,2022-04-22 23:11:08
176,Victoria,22.2855,114.1577,78.85,90,10,5.01,HK,clear sky,2022-04-22 23:09:33
177,Mehamn,71.0357,27.8492,35.55,75,75,11.5,NO,broken clouds,2022-04-22 23:11:08
178,Kudahuvadhoo,2.6708,72.8944,82.78,75,100,10.71,MV,moderate rain,2022-04-22 23:11:09
179,Veraval,20.9,70.3667,81.9,56,0,11.1,IN,clear sky,2022-04-22 23:11:09
180,Korla,41.7597,86.1469,62.58,22,14,8.19,CN,few clouds,2022-04-22 23:11:09
181,Damavand,35.7178,52.065,54.5,42,0,4.68,IR,clear sky,2022-04-22 23:11:10
182,Ostrovnoy,68.0531,39.5131,29.01,89,100,12.44,RU,overcast clouds,2022-04-22 23:11:10
183,Nanortalik,60.1432,-45.2371,34.77,99,100,6.55,GL,light snow,2022-04-22 23:09:44
184,Sambava,-14.2667,50.1667,75.47,89,91,6.62,MG,light rain,2022-04-22 23:11:11
185,Saint George,37.1041,-113.5841,56.62,49,40,19.57,US,scattered clouds,2022-04-22 23:10:51
186,Saldanha,-33.0117,17.9442,58.19,74,0,18.54,ZA,clear sky,2022-04-22 23:11:11
187,Labrea,-7.2586,-64.7981,79.21,78,75,3.22,BR,broken clouds,2022-04-22 23:11:11
188,Navirai,-23.065,-54.1906,74.57,59,14,5.57,BR,few clouds,2022-04-22 23:11:12
189,Bathsheba,13.2167,-59.5167,79.41,65,20,14.97,BB,few clouds,2022-04-22 23:11:12
190,Kudymkar,59.0173,54.656,24.75,96,95,2.75,RU,overcast clouds,2022-04-22 23:11:13
191,Scarborough,54.2797,-0.4044,47.34,90,4,3.0,GB,clear sky,2022-04-22 23:11:13
192,Clyde River,70.4692,-68.5914,2.05,86,7,2.46,CA,clear sky,2022-04-22 23:11:13
193,Arenzano,44.4052,8.6832,60.64,89,75,10.36,IT,broken clouds,2022-04-22 23:11:14
194,Kenitra,34.261,-6.5802,59.76,78,39,25.46,MA,light rain,2022-04-22 23:11:14
195,Sehithwa,-20.4667,22.7167,70.03,52,99,4.03,BW,overcast clouds,2022-04-22 23:11:15
196,Tazovskiy,67.4667,78.7,-6.39,100,66,7.54,RU,broken clouds,2022-04-22 23:11:15
197,Groningen,53.25,6.75,53.22,76,75,12.66,NL,broken clouds,2022-04-22 23:11:15
198,Ornskoldsvik,63.2909,18.7153,41.95,70,100,5.75,SE,overcast clouds,2022-04-22 23:11:16
199,Tromso,69.6496,18.957,35.62,75,75,4.61,NO,broken clouds,2022-04-22 23:11:17
200,Ugoofaaru,5.6667,73.0,83.07,72,100,1.59,MV,overcast clouds,2022-04-22 23:11:17
201,Saint Stephen,50.3333,-4.9,54.16,71,75,5.75,GB,broken clouds,2022-04-22 23:11:17
202,Inta,66.0317,60.1659,3.02,95,44,6.69,RU,scattered clouds,2022-04-22 23:11:18
203,Belyy Yar,53.6039,91.3903,28.85,56,0,2.24,RU,clear sky,2022-04-22 23:11:18
204,Usinsk,65.9939,57.5281,6.13,92,9,9.44,RU,clear sky,2022-04-22 23:11:19
205,Balsas,-7.5325,-46.0356,77.47,71,97,3.33,BR,overcast clouds,2022-04-22 23:09:32
206,Torbay,47.6666,-52.7314,40.75,57,100,10.49,CA,overcast clouds,2022-04-22 23:11:19
207,Inhambane,-23.865,35.3833,71.87,79,100,4.83,MZ,overcast clouds,2022-04-22 23:11:19
208,Shahjahanpur,27.8833,79.9167,82.42,20,21,4.36,IN,few clouds,2022-04-22 23:11:20
209,Mogadishu,2.0371,45.3438,82.63,76,55,14.34,SO,broken clouds,2022-04-22 23:11:20
210,Eyl,7.9803,49.8164,81.39,78,62,6.82,SO,broken clouds,2022-04-22 23:11:21
211,Zheleznodorozhnyy,55.7503,38.0042,46.81,88,98,2.59,RU,overcast clouds,2022-04-22 23:11:21
212,San Andres,12.5847,-81.7006,84.22,74,40,10.36,CO,scattered clouds,2022-04-22 23:11:22
213,Gornyy,55.1153,83.9059,24.71,62,100,10.87,RU,overcast clouds,2022-04-22 23:11:22
214,Virginia Beach,36.8529,-75.978,72.03,60,40,8.05,US,scattered clouds,2022-04-22 23:09:10
215,Thompson,55.7435,-97.8558,40.41,69,94,6.49,CA,overcast clouds,2022-04-22 23:08:37
216,Masaurhi,25.3509,85.0342,80.49,22,1,5.06,IN,clear sky,2022-04-22 23:11:23
217,Boralday,43.3578,76.8594,57.06,58,40,2.24,KZ,scattered clouds,2022-04-22 23:11:23
